rank,title,year,date,city,state,country,latitude,longitude,gross,posterURL
1,My Big Fat Greek Wedding,2002,19-Apr-02,Chicago,IL,USA,41.88,-87.62,"$241,438,208 ",https://upload.wikimedia.org/wikipedia/en/3/3b/My_Big_Fat_Greek_Wedding_movie_poster.jpg
2,What Women Want,2000,15-Dec-00,Chicago,IL,USA,41.88,-87.62,"$182,811,707 ",https://upload.wikimedia.org/wikipedia/en/3/37/Whatwomenwant.jpg
3,Hitch,2005,11-Feb-05,New York City,NY,USA,40.71,-74.01,"$179,495,555 ",https://upload.wikimedia.org/wikipedia/en/d/d4/Hitch_poster.JPG
4,Pretty Woman,1990,23-Mar-90,Los Angeles,CA,USA,34.05,-118.24,"$178,406,268 ",https://upload.wikimedia.org/wikipedia/en/b/b6/Pretty_woman_movie.jpg
5,There's Something About Mary,1998,15-Jul-98,Providence,RI,USA,41.82,-71.41,"$176,484,651 ",https://upload.wikimedia.org/wikipedia/en/d/df/There%27s_Something_About_Mary_POSTER.jpg
5,There's Something About Mary,1998,15-Jul-98,Miami,FL,USA,25.77,-80.19,"$176,484,651 ",https://upload.wikimedia.org/wikipedia/en/d/df/There%27s_Something_About_Mary_POSTER.jpg
6,Crazy Rich Asians,2018,15-Aug-18,Singapore,,Singapore,1.29,103.85,"$174,532,921 ",https://upload.wikimedia.org/wikipedia/en/b/ba/Crazy_Rich_Asians_poster.png
6,Crazy Rich Asians,2018,15-Aug-18,New York City,NY,USA,40.71,-74.01,"$174,532,921 ",https://upload.wikimedia.org/wikipedia/en/b/ba/Crazy_Rich_Asians_poster.png
7,The Proposal,2009,19-Jun-09,New York City,NY,USA,40.71,-74.01,"$163,958,031 ",https://upload.wikimedia.org/wikipedia/en/0/02/The_Proposal.jpg
7,The Proposal,2009,19-Jun-09,Sitka,AK,USA,57.05,-135.34,"$163,958,031 ",https://upload.wikimedia.org/wikipedia/en/0/02/The_Proposal.jpg
8,Sex and the City,2008,30-May-08,New York City,NY,USA,40.71,-74.01,"$152,647,258 ",https://upload.wikimedia.org/wikipedia/en/c/cb/Sex_and_the_City_The_Movie.jpg
9,Runaway Bride,1999,30-Jul-99,Berlin ,MD,USA,38.32,-75.22,"$152,257,509 ",https://upload.wikimedia.org/wikipedia/en/e/e2/Runaway_Bride.jpg
10,Knocked Up,2007,1-Jun-07,Los Angeles,CA,USA,34.05,-118.24,"$148,768,917 ",https://upload.wikimedia.org/wikipedia/en/5/51/Knockedupmp.jpg
11,As Good as It Gets,1997,23-Dec-97,New York City,NY,USA,40.71,-74.01,"$148,478,011 ",https://upload.wikimedia.org/wikipedia/en/d/dc/As_good_as_it_gets.jpg
11,As Good as It Gets,1997,23-Dec-97,Baltimore,MD,USA,39.29,-76.61,"$148,478,011 ",https://upload.wikimedia.org/wikipedia/en/d/dc/As_good_as_it_gets.jpg
12,Bringing Down the House,2003,7-Mar-03,Los Angeles,CA,USA,34.05,-118.24,"$132,716,677 ",https://upload.wikimedia.org/wikipedia/en/7/74/Bringing_down_the_house_poster.jpg
13,Silver Linings Playbook,2012,16-Nov-12,Philadelphia,PA,USA,39.95,-75.16,"$132,092,958 ",https://upload.wikimedia.org/wikipedia/en/9/9a/Silver_Linings_Playbook_Poster.jpg
14,Coming to America,1988,29-Jun-88,New York City,NY,USA,40.71,-74.01,"$128,152,301 ",https://upload.wikimedia.org/wikipedia/en/3/38/ComingtoAmerica1988MoviePoster.jpg
15,Sweet Home Alabama,2002,27-Sep-02,New York City,NY,USA,40.71,-74.01,"$127,223,418 ",https://upload.wikimedia.org/wikipedia/en/f/fc/Sweet_Home_Alabama_film.jpg
15,Sweet Home Alabama,2002,27-Sep-02,Livingston,AL,USA,32.58,-88.19,"$127,223,418 ",https://upload.wikimedia.org/wikipedia/en/f/fc/Sweet_Home_Alabama_film.jpg
16,My Best Friend's Wedding,1997,20-Jun-97,Chicago,IL,USA,41.88,-87.62,"$127,120,029 ",https://upload.wikimedia.org/wikipedia/en/7/71/My_Best_Friends_Wedding.jpg
17,Sleepless in Seattle,1993,25-Jun-93,Seattle,WA,USA,47.6,-122.33,"$126,680,884 ",https://upload.wikimedia.org/wikipedia/en/e/e1/Sleepless_in_seattle.jpg
17,Sleepless in Seattle,1993,25-Jun-93,New York City,NY,USA,40.71,-74.01,"$126,680,884 ",https://upload.wikimedia.org/wikipedia/en/e/e1/Sleepless_in_seattle.jpg
18,Mr. Deeds,2002,28-Jun-02,New York City,NY,USA,40.71,-74.01,"$126,293,452 ",https://upload.wikimedia.org/wikipedia/en/6/63/Mr_deeds_ver2.jpg
18,Mr. Deeds,2002,28-Jun-02,Concord,NH,USA,43.21,-71.54,"$126,293,452 ",https://upload.wikimedia.org/wikipedia/en/6/63/Mr_deeds_ver2.jpg
